id,pair,original,normalised,lost_in_translation,accuracy_score,fluency_score,tone_score,overall_rating
11,english-dutch,"ik heb al voor a lot of part-time jobs applied, maar ik wordt steeds niet gehired.","I've already applied for a lot of part-time jobs, but I keep not getting hired.","'Steeds' means 'continuously' or 'repeatedly' — 'keep' approximates it but 'steeds niet' has a cumulative, weary frustration that 'keep not getting' doesn't quite capture. The grammatical mixing here (Dutch verb frame with English noun phrases) is notable.",10,7,9,8.666666666666666
12,english-dutch,de grading van deze assignment vind ik eigenlijk really unfair.,I actually think the grading of this assignment is really unfair.,'Eigenlijk' is a nuanced Dutch word meaning 'actually' or 'to be honest' — it softens the criticism and signals the speaker is sharing a genuine personal opinion they may have been reluctant to voice. This hedging quality is mostly lost.,10,10,10,10.0
13,english-dutch,ik koop mijn birthday gifts altijd bij de bookstore.,I always buy my birthday gifts at the bookstore.,"Minimal nuance loss. A straightforward sentence. The only notable point is that 'bij de bookstore' uses the Dutch preposition 'bij' (at/by) which is slightly more intimate/habitual than 'at' — implying a specific, familiar shop.",10,10,9,9.666666666666666
14,english-dutch,Tijdens mijn internship had ik een co-worker die echt veel yapte,During my internship I had a co-worker who really talked a lot.,"'Yapte' is a Dutch conjugation of the English slang 'yap' — a deliberate borrowing that adds humorous, slightly judgmental energy. 'Talked a lot' is neutral; 'yapte' implies annoying, incessant chatter. The comic effect of conjugating English slang into Dutch grammar is entirely lost.",10,10,7,9.0
15,english-hindi,"Bhai I'm so stressed, mere itne saare deadlines hain this week","Bro, I'm so stressed, I have so many deadlines this week.","'Bhai' literally means 'brother' but functions as a warm, informal address — closer to 'bro' but with more genuine affection. 'Mere itne saare' (I have so many of mine) uses a possessive structure that conveys personal burden more intimately than 'I have so many'.",10,10,10,10.0
16,english-hindi,"Unhone mujhe ghost kar diya, I can't believe it","They ghosted me, I can't believe it.","'Unhone... kar diya' uses the Hindi completive construction — 'diya' signals the action is done and final, adding a sense of irreversible betrayal. 'Ghosted me' captures the act but not this sense of finality and disbelief layered into the grammar.",9,10,9,9.333333333333334
17,english-hindi,"Tu bas relax kar, it'll be fine","Just relax, it'll be fine.",'Tu' is the intimate second-person pronoun in Hindi — more familiar than 'aap' (formal) or 'tum' (neutral). Its use signals close friendship. 'Bas' (just/only) adds a gentle dismissiveness — 'just relax' approximates it but loses the affectionate undertone.,8,10,8,8.666666666666666
18,english-hindi,"us ne mujhe last minute pe cancel kar diya, so rude","They cancelled on me at the last minute, so rude.","Again, 'kar diya' marks the action as completed and done to the speaker — a passive suffering implied in the grammar. 'Pe' (on/at) is a casual spoken form. The terse 'so rude' appended in English mirrors how South Asian youth code-switch to English for evaluative judgments.",9,10,10,9.666666666666666
19,english-hindi,"uye outfit is so cute, kahan se liya?","That outfit is so cute, where did you get it from?","'Uye' is a colloquial/dialectal demonstrative (likely 'woh' reduced) — very casual, spoken-register Hindi. 'Kahan se liya' literally 'from where did you take it' — 'take' rather than 'buy' implies the casual assumption it might have been borrowed or thrifted, which 'get it from' erases.",10,10,8,9.333333333333334
20,english-hindi,"wo banda itna fake hai, I don't trust him at all","That guy is so fake, I don't trust him at all.","'Banda' means 'guy/dude' but carries a slightly dismissive, othering quality — it's used to refer to someone at a distance, almost as a type rather than a person. 'Itna' (so much/that much) is more emphatic than 'so'.",10,10,10,10.0
21,english-hindi,"Itna overthink mat karo, it'll all work out","Don't overthink it so much, it'll all work out.","'Mat karo' is a soft negative imperative — more gentle and caring than a blunt 'don't do'. The structure places the advice warmly. 'Overthink' is English borrowed into Hindi grammar seamlessly, a very common Hinglish pattern.",9,10,9,9.333333333333334
22,english-hindi,"mein ne groceries order kar di hain, they'll arrive in an hour","I've ordered the groceries, they'll arrive in an hour.",'Kar di hain' is a feminine completive form — the 'di' (as opposed to 'diya') marks that the speaker is female or speaking in a feminine register. This grammatical gender marking is entirely invisible in the English translation.,10,10,10,10.0
23,english-hindi,"mujhe na actually ye show bohot pasand hai, it's so good","I actually really like this show, it's so good.","'Na' here is a filler/softener particle — it creates a confessional, slightly sheepish tone, as if admitting something unexpected. 'Bohot pasand hai' (is very liked by me) uses the experiencer construction — liking happens *to* the speaker rather than the speaker actively liking — a subtle passivity lost in translation.",9,10,9,9.333333333333334
24,english-hindi,"mujhe samajh nahi aata why people always leave their dishes in the sink, itna difficult hai kya clean karna?",I don't understand why people always leave their dishes in the sink — is it really that difficult to clean them?,"'Mujhe samajh nahi aata' literally 'understanding doesn't come to me' — a more helpless, baffled construction than 'I don't understand'. 'Itna difficult hai kya' ends in 'kya' which turns it into a rhetorical question with exasperated disbelief — sharper than 'is it really that difficult'.",10,9,9,9.333333333333334
25,english-hindi,"main supermarket gayi thi just milk lene ke liye and I ended up spending like 30 euros, har baar aisa hota hai",I went to the supermarket just to get milk and ended up spending like 30 euros — it happens every single time.,"'Gayi thi' again marks feminine past tense — speaker is female. 'Lene ke liye' (for the purpose of taking) is more purposeful and deliberate than 'to get'. 'Har baar aisa hota hai' (every time this happens) carries a tone of resigned, almost comic self-awareness that 'it happens every time' approximates but flattens.",10,10,10,10.0
26,english-hindi,"aaj gym jaana tha but I kept snoozing my alarm, ab mujhe guilty feel ho raha hai poora din","I was supposed to go to the gym today but I kept snoozing my alarm, now I've been feeling guilty all day.",'Jaana tha' (had to go / was supposed to go) implies an obligation or plan that was broken — more weight than 'was going to go'. 'Ab mujhe guilty feel ho raha hai' uses English 'guilty feel' embedded into Hindi progressive grammar — a Hinglish construction that feels vivid and immediate in a way neither pure language achieves alone. 'Poora din' (the whole/complete day) is more emphatic than 'all day'.,10,10,10,10.0
