id,pair,languages_detected,language_ratios,prompt,normalised,lost_in_translation,accuracy_score,fluency_score,tone_score,overall_rating
11,english-dutch,"['Dutch', 'English']","{'Dutch': 0.65, 'English': 0.35}","ik heb al voor a lot of part-time jobs applied, maar ik wordt steeds niet gehired.","I have already applied for a lot of part-time jobs, but I keep not getting hired.","The sentence reflects a very natural Dutch-English code-switching pattern common among younger Dutch speakers, particularly in urban areas or among those with significant English media exposure. The Dutch phrase 'steeds niet' conveys a sense of repeated, ongoing frustration — 'keep not getting' captures it partially, but the original implies a recurring cycle of disappointment that feels almost resigned. The use of English loanwords like 'part-time jobs' and 'gehired' (a Dutch morphological adaptation of 'hired' with the Dutch past participle prefix 'ge-') is characteristic of Dutch internet and youth slang, signaling informality and a blending of professional/modern vocabulary into everyday speech. This naturalness and casual tone is slightly flattened in a fully English normalisation.",,,,
12,english-dutch,"['Dutch', 'English']","{'Dutch': 0.7, 'English': 0.3}",de grading van deze assignment vind ik eigenlijk really unfair.,I actually find the grading of this assignment really unfair.,"The Dutch word 'eigenlijk' carries a nuance of 'actually' or 'to be honest,' suggesting a mild surprise or a slight reluctance to voice the opinion. It softens the complaint slightly, implying the speaker may not have expected to feel this way or is cautiously expressing dissatisfaction. The code-switching itself — using English terms like 'grading,' 'assignment,' and 'really unfair' within an otherwise Dutch sentence — is common in Dutch academic contexts, especially among students, and signals a casual, informal register typical of student life where English academic terminology is naturally embedded in everyday speech.",,,,
13,english-dutch,"['Dutch', 'English']","{'Dutch': 0.6, 'English': 0.4}",ik koop mijn birthday gifts altijd bij de bookstore.,I always buy my birthday gifts at the bookstore.,"The code-switching between Dutch and English is natural in Dutch-speaking communities, especially among younger or urban speakers influenced by English. The casual mixing of 'birthday gifts' (English) within an otherwise Dutch sentence reflects a common modern Dutch speech pattern where English consumer/lifestyle terms are often borrowed or preferred. This bilingual register signals a certain cultural identity — educated, cosmopolitan, or digitally fluent — which is flattened when fully normalized into one language.",,,,
14,english-dutch,"['Dutch', 'English']","{'Dutch': 0.65, 'English': 0.35}",Tijdens mijn internship had ik een co-worker die echt veel yapte,During my internship I had a co-worker who really talked a lot / yapped a lot,"The word 'yapte' is a Dutch conjugation of the English slang verb 'to yap', meaning to talk excessively or annoyingly. This kind of code-switching — inserting English slang into Dutch grammar — is very common among younger Dutch speakers and gives the sentence a casual, youthful, slightly exasperated tone. The slang term 'yap/yapping' carries a connotation of someone being annoyingly chatty or gossipy, which is slightly stronger and more colorful than simply saying 'talked a lot'. The hybrid verb 'yapte' (yap + Dutch past tense suffix -te) is a hallmark of contemporary Dutch youth language and that playful linguistic blending is entirely lost in a purely English translation.",,,,
15,english-hindi,"['Hindi', 'English']","{'Hindi': 0.45, 'English': 0.55}","Bhai I'm so stressed, mere itne saare deadlines hain this week","Bro, I'm so stressed, I have so many deadlines this week.","The word 'Bhai' literally means 'brother' in Hindi but is used as a casual term of address among friends, similar to 'bro' or 'dude' in English. It carries a warm, informal, and culturally South Asian flavor that 'bro' partially captures but doesn't fully replicate. The Hindi phrase 'mere itne saare' (meaning 'I have so many') adds an emotional weight and a sense of overwhelm that is slightly more expressive and dramatic in tone than its English equivalent, reflecting the emotive style common in Hindi speech. The overall code-switching pattern itself signals a young, urban, South Asian (likely Indian) speaker and the casual intimacy of the conversation, which is lost when the sentence is rendered entirely in English.",,,,
16,english-hindi,"['Hindi/Urdu', 'English']","{'Hindi/Urdu': 0.55, 'English': 0.45}","Unhone mujhe ghost kar diya, I can't believe it","They ghosted me, I can't believe it.","The phrase 'ghost kar diya' is a fascinating example of Hinglish code-switching where the English verb 'ghost' is conjugated using Hindi verb morphology ('kar diya' meaning 'did/have done'). The construction 'kar diya' also carries a sense of finality and completion — something was done to the speaker without their consent or expectation. 'Unhone' is a respectful/formal third-person plural pronoun in Hindi/Urdu, which could indicate the speaker is referring to someone they held in some regard, adding a layer of emotional weight. The blend itself is very natural and casual in South Asian urban youth speech (Hinglishi/Urdu-English), and the mixing style reflects a specific cultural register that the flat English translation loses entirely.",,,,
17,english-hindi,"['Hindi/Urdu', 'English']","{'Hindi/Urdu': 0.45, 'English': 0.55}","Tu bas relax kar, it'll be fine","Just relax, it'll be fine.","The word 'Tu' (Hindi/Urdu second-person informal singular pronoun) carries a very casual, intimate tone used with close friends or younger people. Using 'Tu' instead of 'Aap' (formal) or 'Tum' (semi-formal) signals familiarity and closeness. The particle 'bas' adds a sense of 'just' or 'enough already', implying a gentle but slightly emphatic reassurance, as if cutting off worry or overthinking. The English 'just' approximates this but loses the cultural intimacy embedded in the code-switching itself, which is characteristic of South Asian urban speech (Hinglish), reflecting a relaxed, friendly, and modern register.",,,,
18,english-hindi,"['Urdu/Hindi', 'English']","{'Urdu/Hindi': 0.55, 'English': 0.45}","us ne mujhe last minute pe cancel kar diya, so rude","They cancelled on me at the last minute, so rude.","The phrase 'us ne' is a gender-neutral third-person singular pronoun in Urdu/Hindi, which avoids specifying whether the person is male or female — a nuance that 'they' in English attempts to preserve but may imply plurality. The construction 'cancel kar diya' is a classic Hinglish verb formation where an English verb ('cancel') is conjugated using the Hindi auxiliary 'kar diya' (literally 'did do'), conveying a sense of a completed, somewhat abrupt or inconsiderate action. This casual Hinglish blending is very natural in South Asian urban speech and carries a colloquial, conversational tone that a fully English sentence slightly loses. The 'so rude' at the end mirrors typical social media/texting register and retains its tone well.",,,,
19,english-hindi,"['Hindi', 'English']","{'Hindi': 0.45, 'English': 0.55}","uye outfit is so cute, kahan se liya?","Your outfit is so cute, where did you get it from?","The word 'uye' appears to be a casual/colloquial Hindi-influenced pronunciation or informal written form of 'your' (possibly a regional or typing shorthand). The phrase 'kahan se liya' literally means 'from where did you take/get it' — the word 'liya' (took/got) carries a slightly more casual and intimate tone than the English 'get', implying a direct, friendly curiosity. The overall sentence reflects the natural Hinglish (Hindi-English code-switching) style common among urban South Asian youth, which carries a sense of informal closeness and cultural familiarity that a fully English sentence cannot replicate.",,,,
20,english-hindi,"['Hindi/Urdu', 'English']","{'Hindi/Urdu': 0.45, 'English': 0.55}","wo banda itna fake hai, I don't trust him at all","That guy is so fake, I don't trust him at all.","The word 'banda' in Hindi/Urdu carries a colloquial, slightly dismissive or casual tone when referring to a male person — closer to 'dude', 'guy', or 'fellow' but with a street-level informality. Simply translating it as 'guy' loses this nuanced contempt or casual dismissiveness embedded in the original. The code-switching itself also signals a South Asian urban (likely Indian or Pakistani) youth register, where mixing Hindi/Urdu with English is a natural sociolinguistic pattern that conveys a particular cultural identity and casual expressiveness that is flattened in a monolingual English version.",,,,
21,english-hindi,"['Hindi', 'English']","{'Hindi': 0.35, 'English': 0.65}","Itna overthink mat karo, it'll all work out","Don't overthink so much, it'll all work out.","'Itna' in Hindi carries a specific emphatic quality meaning 'this much' or 'so much', which adds a tone of gentle exasperation or affectionate concern — as if the speaker is observing the person's visible stress and directly responding to it. The English 'so much' conveys a similar meaning but loses the slightly colloquial, warm, and intimate register that 'itna' brings in Hinglish (Hindi-English code-switching) contexts. The mixed-language phrasing itself signals a casual, close relationship between the speaker and listener, typical of South Asian urban youth speech, which is flattened when rendered fully in English.",,,,
22,english-hindi,"['Urdu/Hindi', 'English']","{'Urdu/Hindi': 0.6, 'English': 0.4}","mein ne groceries order kar di hain, they'll arrive in an hour","I have ordered the groceries, they'll arrive in an hour.","The Urdu/Hindi portion uses a perfective construction 'kar di hain' which implies the action has been completed with a sense of finality and perhaps slight relief or accomplishment — as if the task has been taken care of on someone's behalf or for the household. The phrase 'mein ne' (I, as the agent in an ergative construction) combined with 'kar di hain' carries a subtle nuance of having done something for a communal or shared benefit, which is lost in the neutral English 'I have ordered.' The casual code-switching itself reflects a common urban South Asian (Pakistani/Indian) conversational register that signals informality and cultural familiarity.",,,,
23,english-hindi,"['Hindi/Urdu', 'English']","{'Hindi/Urdu': 0.6, 'English': 0.4}","mujhe na actually ye show bohot pasand hai, it's so good","I actually really like this show, it's so good.","The particle 'na' in Hinglish (Hindi-English code-switching) adds a soft, conversational, seeking-agreement tone — like a filler that signals the speaker is sharing an enthusiastic personal opinion while subtly inviting the listener to agree. It conveys warmth and casual intimacy. 'Bohot' (meaning 'very/a lot') carries an expressive enthusiasm that 'really' approximates but doesn't fully capture. The overall Hinglish blend signals a relaxed, youthful, South Asian urban register that is flattened when fully converted to English.",,,,
24,english-hindi,"['Hindi', 'English']","{'Hindi': 0.55, 'English': 0.45}","mujhe samajh nahi aata why people always leave their dishes in the sink, itna difficult hai kya clean karna?",I just don't understand why people always leave their dishes in the sink — is it really that difficult to clean them?,"The original sentence carries a very natural, exasperated, conversational tone typical of urban South Asian (particularly Indian) code-switching speech. The Hindi phrase 'mujhe samajh nahi aata' literally means 'it doesn't come to my understanding,' which is a softer, more resigned way of expressing confusion or frustration compared to the direct English 'I don't understand.' 'Itna difficult hai kya' has a rhetorical, slightly dramatic flair — the 'kya' at the end is a question particle that adds a sarcastic or disbelieving tone that is hard to fully capture in English. The seamless mixing of Hindi and English (Hinglish) also reflects a cultural identity and social register common among educated, urban Indians, and this blended identity is lost when the sentence is fully normalized into English.",,,,
25,english-hindi,"['Hindi/Urdu', 'English']","{'Hindi/Urdu': 0.5, 'English': 0.5}","main supermarket gayi thi just milk lene ke liye and I ended up spending like 30 euros, har baar aisa hota hai","I had gone to the supermarket just to get milk and I ended up spending like 30 euros, this happens every single time.","The phrase 'har baar aisa hota hai' carries a resigned, almost exasperated tone that is very characteristic of South Asian conversational style — it implies a habitual, unavoidable frustration that one has come to accept. The English equivalent 'this happens every single time' captures the meaning but loses the subtle fatalistic acceptance embedded in the Hindi construction. Additionally, the use of 'gayi thi' (past perfective feminine) subtly indicates the speaker is female, which is grammatically encoded in Hindi but invisible in English. The casual code-switching itself is emblematic of the urban South Asian diaspora communication style, blending Hindi/Urdu and English fluidly in everyday speech.",,,,
26,english-hindi,"['Hindi', 'English']","{'Hindi': 0.55, 'English': 0.45}","aaj gym jaana tha but I kept snoozing my alarm, ab mujhe guilty feel ho raha hai poora din","I was supposed to go to the gym today, but I kept snoozing my alarm, and now I've been feeling guilty about it all day.","The Hindi portions carry a very natural, casual South Asian conversational tone that is hard to replicate in English. 'Aaj gym jaana tha' has a resigned, almost lamenting quality — implying a plan that was intended but failed — which the English 'was supposed to go' approximates but doesn't fully capture emotionally. 'Ab mujhe guilty feel ho raha hai poora din' is itself a classic Hinglish construction blending Hindi grammar with the English word 'guilty', and the phrase 'poora din' (literally 'whole/entire day') emphasizes the all-encompassing weight of guilt in a way that feels more dramatic and expressive in the original. The overall sentence reads as a very relatable, self-deprecating social media or WhatsApp-style confession common in urban South Asian youth culture.",,,,
27,english-tamil,"['Tamil', 'English']","{'Tamil': 0.2, 'English': 0.8}","naan romba tired, but I still have to finish my work tonight","I am very tired, but I still have to finish my work tonight.","The word 'romba' (ரொம்ப) in Tamil carries a colloquial, emphatic quality meaning 'very' or 'a lot', often used in casual spoken Tamil. It conveys a sense of exasperation or heartfelt intensity that the plain English 'very' does not fully capture. Similarly, 'naan' (நான்) meaning 'I' grounds the sentence in a Tamil-speaking cultural and social context, and the code-switching itself reflects the natural bilingual speech patterns common among Tamil speakers in urban India, Sri Lanka, Singapore, and diaspora communities, signaling in-group identity and cultural comfort.",,,,
28,english-tamil,"['Tamil', 'English']","{'Tamil': 0.55, 'English': 0.45}","seri let's order food, enakku cooking panna mood illa","Okay, let's order food, I'm not in the mood to cook.","The word 'seri' in Tamil is a casual, colloquial way of saying 'okay' or 'alright', carrying a relaxed, agreeable tone that is common in informal Tamil conversation. It conveys a sense of easy acquiescence rather than a formal agreement. Additionally, 'enakku cooking panna mood illa' is a very natural Tamil-English code-switch phrase used commonly among urban Tamil speakers (especially in Chennai and among Tamil diaspora), and the hybrid phrasing itself signals a casual, familiar register between friends. The English normalisation loses the culturally embedded Dravidian casual speech style and the social intimacy that code-switching itself conveys.",,,,
29,english-tamil,"['Tamil', 'English']","{'Tamil': 0.45, 'English': 0.55}","enna da, this assignment is so difficult, enakku puriyala","What the heck, this assignment is so difficult, I don't understand it at all.","'enna da' is a colloquial Tamil expression of exasperation or disbelief, roughly meaning 'what is this man' or 'what the heck'. The 'da' suffix is a casual, masculine-coded address term used between close friends, conveying informality and frustration. It carries a sense of intimate venting that is hard to replicate in English. 'enakku puriyala' literally means 'it is not understood by me' (using a dative-experiencer construction), which has a helpless, passive tone — as if the understanding is just not happening to the speaker — subtly different from the more active 'I don't understand it'.",,,,
30,english-tamil,"['English', 'Tamil']","{'English': 0.65, 'Tamil': 0.35}","I have so many deadlines this week, enakku stressa irrukuru","I have so many deadlines this week, I am so stressed.","The Tamil phrase 'enakku stressa irrukuru' (எனக்கு stress-ஆ இருக்கு) is a colloquial Tamil-English hybrid where the English word 'stress' has been Tamilized with the suffix '-a' and the Tamil verb 'irrukuru' (இருக்கு, meaning 'is/am/are'). This reflects a very natural, casual code-switching style common among Tamil speakers, especially urban Tamil youth in India and diaspora communities. The blending conveys a relaxed, conversational intimacy that a purely English sentence lacks. The informal register and the naturalness of mixing signals in-group identity and everyday relatability, which is lost when normalized to plain English.",,,,
31,english-tamil,"['Tamil', 'English']","{'Tamil': 0.45, 'English': 0.55}","naan oru movie paarke plan panninen, but I don't think it's gonna happen this week","I had planned to watch a movie, but I don't think it's gonna happen this week.","The Tamil opening 'naan oru movie paarke plan panninen' carries a casual, conversational register common in urban Tamil Nadu and among Tamil diaspora youth. The phrase 'plan panninen' (literally 'did a plan') reflects a colloquial Tamil way of expressing intention that is softer and more spontaneous-sounding than formal English equivalents. The seamless code-switch mid-sentence is itself a cultural marker of bilingual Tamil-English speaker identity, particularly among younger urban speakers. The casual tone and slight resignation conveyed by the mix is somewhat flattened in a fully English version.",,,,
32,english-tamil,"['Tamil', 'English']","{'Tamil': 0.35, 'English': 0.65}","naan sick a iruken, I think I caught a cold in Berlin","I am sick, I think I caught a cold in Berlin.","The Tamil portion 'naan sick a iruken' is a common Tamil-English code-switch used in urban Tamil-speaking communities, particularly among Tamil diaspora. 'Naan' means 'I', and 'iruken' is a colloquial/spoken form of 'irukkiren' meaning 'I am' or 'I have'. The 'a' particle here acts as a connector linking the English word 'sick' into the Tamil grammatical structure. This hybrid phrasing carries a casual, conversational register typical of Tamil speakers who naturally blend English and Tamil in everyday speech. The normalised English sentence loses this informal, culturally embedded code-switching flavour and the sense of a bilingual speaker's natural voice.",,,,
33,english-tamil,"['Tamil', 'English']","{'Tamil': 0.45, 'English': 0.55}","naan holidaykku Berlin poi wanden, but I didn't get to do anything fun there","I went to Berlin for a holiday, but I didn't get to do anything fun there.","The Tamil portion 'naan holidaykku Berlin poi wanden' carries a casual, colloquial tone typical of everyday spoken Tamil, especially among urban Tamil speakers who naturally blend English nouns like 'holiday' into Tamil sentence structures. The verb 'wanden' (வந்தேன், meaning 'came/went') reflects a common Tamil dialectal usage where 'coming back' is implied — suggesting the speaker has returned from Berlin and is recounting the trip retrospectively. This return-journey nuance is subtly lost when translated simply as 'went'. The code-switching itself signals a bilingual identity, likely a young urban Tamil speaker (possibly Tamil Nadu, Sri Lanka, or diaspora), and the seamless mix reflects a natural in-group conversational register that a purely English sentence cannot replicate.",,,,
34,english-tamil,"['Tamil', 'English']","{'Tamil': 0.35, 'English': 0.65}","naan oru Kingsday party attend panninen, it was so much fun, and aduthe naal, I had to get up early work poga","I attended a King's Day party, it was so much fun, and the next day, I had to get up early to go to work.","The Tamil elements ('naan' = I, 'aduthe naal' = the next day/following day, 'poga' = to go) give the sentence a casual, conversational tone typical of Tamil-English code-switching used among Tamil diaspora communities, particularly in the Netherlands where King's Day (Kingsdag) is a major national celebration on April 27th. The mixing of languages signals in-group identity and informal register. 'Poga' at the end is a verb suffix meaning 'to go', appended to the English word 'work', which is a very natural Tamil-English hybrid construction. The overall breezy, relatable tone of someone recounting a festive hangover situation is somewhat flattened in the purely English version.",,,,
35,english-tamil,"['English', 'Tamil']","{'English': 0.75, 'Tamil': 0.25}","I just came back from my ammas place, I just had the best food ever, iddiayappam and meen curry, such a good combination","I just came back from my mother's place, I just had the best food ever, string hoppers and fish curry, such a good combination.","'Amma' is a deeply affectionate Tamil/South Indian word for 'mother', carrying warmth and emotional intimacy that the plain English word 'mother' does not fully convey. 'Iddiayappam' (also spelled idiyappam) refers to string hoppers, a traditional South Indian and Sri Lankan dish made of rice flour pressed into thin noodle-like strands — calling them 'string hoppers' loses the cultural specificity and the homely, nostalgic feel the Tamil word carries. 'Meen curry' literally means fish curry, but in Tamil culinary culture it evokes a specific style of spiced, tamarind-based fish curry often associated with home cooking and regional identity. The sentence overall conveys a sense of comfort, nostalgia, and home-cooked love that the English normalisation only partially captures.",,,,
36,english-tamil,"['Tamil', 'English']","{'Tamil': 0.55, 'English': 0.45}","naan saravana bhavan ikku saapadu saapide ponnen, their vada idli set is pretty popular","I went to Saravana Bhavan to eat food, their vada idli set is pretty popular.","The Tamil phrase 'saapadu saapide ponnen' is richly expressive — 'saapadu' literally means 'food/meal' (often implying a proper, full meal), and 'saapide ponnen' means 'I went to eat.' The repetition of the root concept (saapadu + saapide) is a natural colloquial Tamil construction that emphasizes the act of eating, almost like saying 'I went to have a proper meal.' This reflects a cultural warmth and enthusiasm around food that is common in Tamil speaking culture. Additionally, 'Saravana Bhavan' is a well-known South Indian restaurant chain with strong cultural significance, especially among Tamil speakers, symbolizing authentic, traditional South Indian cuisine. The casual code-switching style itself reflects the everyday speech pattern of urban Tamil speakers, blending Tamil and English naturally.",,,,
37,english-tamil,"['Tamil', 'English']","{'Tamil': 0.45, 'English': 0.55}","summer holidaykku naan India poga plan pannuren, lets see if it is gonna happen","I'm planning to go to India for the summer holidays, let's see if it's actually going to happen.","The phrase 'plan pannuren' (Tamil for 'am planning') carries a casual, colloquial tone typical of everyday Tamil speech. The code-switching itself reflects the natural bilingual register of urban Tamil speakers (especially Tamil diaspora or Tamil Nadu city dwellers). The suffix '-kku' is a Tamil dative case marker meaning 'for', seamlessly attached to the English word 'summer holiday', which is a hallmark of Tanglish (Tamil-English) mixing. The phrase 'lets see if it is gonna happen' at the end conveys a light-hearted uncertainty or self-aware skepticism — a relaxed, conversational acknowledgment that plans might not materialise — which is somewhat preserved in translation but loses the casual Tanglish flavour that makes it feel culturally authentic.",,,,
38,english-tamil,"['Tamil', 'English']","{'Tamil': 0.45, 'English': 0.55}","Naan oru new series pakuren, called 'Boyfriend on demand'. I am totally addicted, enna oru story.",I am watching a new series called 'Boyfriend on Demand'. I am totally addicted — what a story!,"The phrase 'enna oru story' is a colloquial Tamil exclamation meaning roughly 'what a story!' but carries a strong emotive punch — it conveys awe, admiration, and excitement all at once, in a way that is very characteristic of Tamil casual speech. The enthusiasm and the informal, conversational warmth of switching between Tamil and English (a style common among urban Tamil speakers, especially on social media) is somewhat lost in the purely English version. 'Pakuren' (watching) is present tense in Tamil, reflecting ongoing action, which is preserved in 'I am watching'. The overall tone is enthusiastic fan-talk, which is only partially captured in the translation.",,,,
39,english-tamil,"['Tamil', 'English']","{'Tamil': 0.75, 'English': 0.25}","eppada indha padippu mudiyum indhu irukkuru, I hope soon","When will this studying end, man, I hope soon.","The word 'indhu' (இந்து) here is likely a colloquial/informal filler or emphatic particle used in spoken Tamil, similar to 'man' or 'dude' in English, adding a tone of exasperation or camaraderie. The word 'irukkuru' is a colloquial contracted form of 'irukku' (is/exists) combined with an informal second-person address, suggesting the speaker is venting to a close friend. The overall tone carries a tired, relatable frustration about studying — a very casual, conversational register between peers that is hard to fully capture in formal English.",,,,
40,english-german,"['English', 'German']","{'English': 0.7, 'German': 0.3}","Can you help me writing this letter, ich weiß nicht how to start it","Can you help me writing this letter, I don't know how to start it",The German phrase 'ich weiß nicht' (I don't know) carries a subtle sense of genuine uncertainty or helplessness that feels slightly more expressive or emphatic when inserted mid-sentence in German. The code-switching itself signals a moment of cognitive hesitation or vulnerability — switching to one's native language at a point of difficulty is a natural phenomenon that emphasises the speaker's struggle. This nuance of authenticity and emotional texture is flattened in the all-English version.,,,,
41,english-german,"['English', 'German']","{'English': 0.47, 'German': 0.53}","I am going to book an Uber, kannst du mir sagen wo du bist?","I am going to book an Uber, can you tell me where you are?","The switch to German mid-sentence ('kannst du mir sagen wo du bist?') adds a subtle intimacy or familiarity, as German uses 'du' (informal 'you'), implying the speaker is addressing someone they are close to. In English, there is no grammatical distinction between formal and informal 'you', so this nuance of closeness or casualness conveyed by 'du' is lost. The code-switching itself may also reflect a bilingual social environment or a shared cultural identity between the speakers, which the fully English version cannot capture.",,,,
42,english-german,"['German', 'English']","{'German': 0.6, 'English': 0.4}","Ich habe kaum geschalfen, I feel so sick.","I have barely slept, I feel so sick.","Note: 'geschalfen' appears to be a misspelling of 'geschlafen' (the correct German past participle of 'schlafen' - to sleep). The use of German for the first clause and English for the second may reflect a natural bilingual thought process, where fatigue and illness blur language boundaries. The German phrasing 'Ich habe kaum geschlafen' carries a slightly more emphatic or lamenting tone than its English equivalent, subtly reinforcing the exhausted, unwell state of the speaker. The code-switching itself adds authenticity and emotional immediacy that a purely English sentence would not capture.",,,,
43,english-german,"['German', 'English']","{'German': 0.5, 'English': 0.5}","Mein WiFi funktioniert nicht, I can't do anything","My WiFi isn't working, I can't do anything.","The code-switching from German to English mid-sentence subtly reflects a shift in emotional register. The German opening 'Mein WiFi funktioniert nicht' feels more matter-of-fact and technical, while the English continuation 'I can't do anything' expresses exasperation more colloquially. This bilingual frustration pattern is common among German-English speakers and the switch itself emphasizes the helplessness felt — a nuance flattened when rendered entirely in one language.",,,,
